hour_of_day,minute_of_hour,minutes_to_kickoff,is_peak,queue_length,processing_time,capacity_utilization,wait_time,gate_G1,gate_G2,gate_G3
14,22,217.9,0,0,3.39,0.0,0.0,False,False,True
16,18,101.3,0,319,3.89,0.32,3.78,False,False,True
17,23,36.5,1,830,5.09,1.0,13.47,False,True,False
17,15,44.3,1,719,5.46,0.9,13.81,False,True,False
17,38,21.3,0,804,5.43,1.0,14.15,False,True,False
14,0,239.7,0,0,4.83,0.0,0.0,False,True,False
16,46,73.5,1,611,5.48,0.76,11.84,False,True,False
15,59,120.5,0,129,4.06,0.16,1.52,False,True,False
15,53,126.1,0,123,3.52,0.12,1.12,False,False,True
16,49,70.8,1,592,5.72,0.74,11.85,False,True,False
14,42,197.6,0,0,3.82,0.0,0.0,False,True,False
15,12,167.5,0,0,7.08,0.0,0.0,True,False,False
15,36,143.8,0,1,8.23,0.01,0.06,True,False,False
15,55,124.8,0,126,4.7,0.16,1.71,False,True,False
17,19,40.4,1,36,8.61,0.18,2.64,True,False,False
16,24,95.0,0,382,5.01,0.48,6.58,False,True,False
18,52,-52.5,0,2,4.18,0.0,0.02,False,True,False
14,30,209.0,0,0,4.15,0.0,0.0,False,True,False
18,40,-40.1,0,8,3.82,0.01,0.08,False,True,False
14,48,191.7,0,0,3.7,0.0,0.0,False,True,False
17,15,44.8,1,681,4.88,0.85,11.04,False,True,False
16,49,70.3,1,38,7.1,0.19,2.03,True,False,False
15,4,175.9,0,3,4.25,0.0,0.03,False,True,False
16,23,96.1,0,421,4.86,0.53,6.82,False,True,False
17,45,15.0,0,587,5.07,0.73,9.74,False,True,False
14,59,181.0,0,0,7.78,0.0,0.0,True,False,False
14,16,223.0,0,0,3.81,0.0,0.0,False,True,False
18,45,-45.8,0,7,3.56,0.01,0.07,False,False,True
14,51,188.9,0,1,3.99,0.0,0.01,False,False,True
17,45,14.7,0,748,4.29,0.75,9.96,False,False,True
14,27,212.8,0,0,4.28,0.0,0.0,False,True,False
15,9,170.6,0,5,3.98,0.01,0.05,False,False,True
16,16,103.7,0,234,3.49,0.29,2.91,False,True,False
18,45,-45.2,0,8,2.71,0.01,0.06,False,False,True
15,6,173.3,0,5,3.25,0.01,0.05,False,False,True
14,22,217.8,0,0,4.67,0.0,0.0,False,True,False
18,10,-11.0,0,69,4.01,0.09,0.8,False,True,False
14,17,222.5,0,0,2.59,0.0,0.0,False,False,True
15,58,121.1,0,6,8.8,0.03,0.43,True,False,False
16,59,60.0,1,993,5.19,0.99,18.43,False,False,True
16,50,69.9,1,927,4.14,0.93,13.43,False,False,True
17,29,30.9,1,832,5.62,1.0,16.66,False,True,False
17,24,35.5,1,1047,4.2,1.0,14.9,False,False,True
14,25,214.5,0,0,3.52,0.0,0.0,False,True,False
17,7,52.5,1,1007,3.94,1.0,13.32,False,False,True
18,1,-1.7,0,68,4.01,0.09,0.69,False,True,False
16,58,61.6,1,887,5.93,0.89,18.22,False,False,True
17,35,24.6,0,859,4.35,0.86,12.41,False,False,True
17,32,27.5,0,906,4.4,0.91,12.91,False,False,True
15,46,133.0,0,80,4.05,0.1,0.98,False,True,False
15,13,166.7,0,9,3.74,0.01,0.1,False,False,True
16,8,111.1,0,241,3.74,0.3,2.89,False,True,False
15,29,150.1,0,24,4.22,0.03,0.3,False,True,False
15,12,167.8,0,6,4.01,0.01,0.06,False,True,False
14,46,193.5,0,0,4.6,0.0,0.0,False,False,True
14,48,191.3,0,1,3.23,0.0,0.01,False,False,True
17,26,33.7,1,666,5.03,0.83,10.96,False,True,False
15,31,148.6,0,40,3.17,0.04,0.39,False,False,True
15,56,123.8,0,95,3.33,0.12,0.95,False,True,False
18,55,-55.6,0,2,3.9,0.0,0.02,False,False,True
14,42,197.2,0,0,3.09,0.0,0.0,False,False,True
16,41,78.8,1,760,4.57,0.76,11.09,False,False,True
18,47,-47.4,0,5,4.63,0.01,0.07,False,True,False
18,9,-9.6,0,100,3.67,0.1,0.92,False,False,True
16,53,66.5,1,733,4.81,0.92,12.4,False,True,False
15,1,178.4,0,3,3.27,0.0,0.03,False,False,True
14,16,223.9,0,0,4.02,0.0,0.0,False,False,True
17,57,2.8,0,373,4.11,0.47,4.97,False,True,False
16,43,76.5,1,680,4.23,0.68,10.45,False,False,True
16,58,61.6,1,1075,5.38,1.0,20.64,False,False,True
16,34,86.0,1,494,5.57,0.62,8.9,False,True,False
16,59,60.2,1,678,4.91,0.85,12.06,False,True,False
14,0,239.1,0,0,3.55,0.0,0.0,False,False,True
15,50,129.1,0,119,3.45,0.12,1.22,False,False,True
14,36,203.4,0,0,7.13,0.0,0.0,True,False,False
14,50,189.4,0,0,7.83,0.0,0.0,True,False,False
15,4,175.2,0,5,3.48,0.01,0.05,False,False,True
16,37,82.9,1,519,4.31,0.52,6.88,False,False,True
17,46,13.4,0,696,4.34,0.7,10.89,False,False,True
14,27,212.3,0,0,3.56,0.0,0.0,False,False,True
17,2,57.7,1,708,5.35,0.89,12.86,False,True,False
18,6,-6.9,0,99,2.77,0.1,0.78,False,False,True
15,33,146.4,0,1,9.36,0.01,0.08,True,False,False
17,37,22.2,0,661,5.54,0.83,11.32,False,True,False
15,56,123.0,0,175,4.31,0.17,2.25,False,False,True
18,49,-49.7,0,0,9.87,0.0,0.0,True,False,False
18,17,-17.3,0,56,3.57,0.06,0.55,False,False,True
15,42,137.1,0,57,3.34,0.07,0.49,False,True,False
18,52,-52.1,0,0,8.26,0.0,0.0,True,False,False
14,0,239.7,0,0,4.17,0.0,0.0,False,False,True
18,36,-36.9,0,14,2.9,0.01,0.12,False,False,True
18,50,-51.0,0,3,3.51,0.0,0.03,False,True,False
15,33,146.5,0,34,3.99,0.04,0.34,False,True,False
14,54,185.9,0,1,4.42,0.0,0.01,False,True,False
14,43,196.8,0,0,2.72,0.0,0.0,False,False,True
16,50,69.6,1,38,9.94,0.19,2.86,True,False,False
18,57,-57.7,0,1,4.91,0.0,0.01,False,True,False
17,12,47.2,1,950,5.09,0.95,16.78,False,False,True
15,6,173.0,0,6,3.05,0.01,0.05,False,False,True
15,25,154.9,0,0,7.35,0.0,0.0,True,False,False
14,1,238.3,0,0,4.16,0.0,0.0,False,True,False
18,54,-54.3,0,2,3.41,0.0,0.02,False,True,False
15,2,177.1,0,4,2.87,0.0,0.03,False,False,True
18,59,-59.9,0,1,3.38,0.0,0.01,False,False,True
16,47,72.5,1,26,8.73,0.13,1.85,True,False,False
15,9,170.8,0,5,2.78,0.01,0.04,False,False,True
14,35,204.6,0,0,4.23,0.0,0.0,False,True,False
17,1,59.0,1,602,4.53,0.75,9.9,False,True,False
18,42,-42.3,0,8,4.24,0.01,0.1,False,True,False
18,40,-40.1,0,10,4.86,0.01,0.13,False,True,False
16,8,111.6,0,9,8.73,0.04,0.65,True,False,False
17,11,48.0,1,929,6.39,1.0,19.6,False,True,False
17,28,31.7,1,1131,5.68,1.0,21.87,False,False,True
18,0,-0.5,0,85,2.92,0.09,0.67,False,False,True
14,42,197.8,0,0,3.95,0.0,0.0,False,True,False
16,12,107.4,0,337,4.25,0.34,5.08,False,False,True
16,36,83.9,1,691,4.46,0.69,10.96,False,False,True
15,20,159.1,0,14,4.42,0.02,0.19,False,True,False
17,48,11.6,0,641,4.23,0.64,9.68,False,False,True
15,17,162.3,0,0,7.51,0.0,0.0,True,False,False
17,49,10.6,0,621,4.6,0.62,9.18,False,False,True
16,7,112.6,0,171,3.72,0.21,1.89,False,True,False
14,33,206.8,0,0,4.62,0.0,0.0,False,True,False
15,34,145.6,0,31,4.86,0.04,0.44,False,True,False
16,56,63.9,1,626,4.74,0.78,10.84,False,True,False
14,51,188.3,0,1,3.15,0.0,0.01,False,False,True
16,59,60.2,1,860,3.67,0.86,10.56,False,False,True
14,48,191.3,0,1,3.25,0.0,0.01,False,False,True
14,25,214.3,0,0,2.95,0.0,0.0,False,False,True
18,18,-18.9,0,63,4.97,0.06,0.8,False,False,True
14,9,230.3,0,0,4.08,0.0,0.0,False,False,True
15,46,133.6,0,65,3.58,0.08,0.64,False,True,False
17,16,43.4,1,667,5.3,0.83,11.88,False,True,False
16,3,116.8,0,178,3.4,0.18,1.83,False,False,True
18,51,-51.3,0,3,2.81,0.0,0.02,False,False,True
15,44,135.5,0,86,3.94,0.09,0.98,False,False,True
18,55,-55.7,0,1,3.22,0.0,0.01,False,False,True
16,36,83.0,1,524,4.43,0.66,7.93,False,True,False
17,53,6.4,0,578,3.63,0.58,6.51,False,False,True
18,53,-53.1,0,2,4.63,0.0,0.02,False,True,False
16,42,77.8,1,548,4.74,0.69,9.19,False,True,False
17,53,7.0,0,580,5.14,0.72,10.13,False,True,False
16,27,92.7,0,359,4.33,0.45,5.12,False,True,False
17,56,3.2,0,427,5.0,0.53,7.68,False,True,False
15,25,154.7,0,24,3.18,0.02,0.2,False,False,True
18,52,-52.8,0,2,2.74,0.0,0.02,False,False,True
18,51,-51.4,0,0,6.16,0.0,0.0,True,False,False
14,39,200.8,0,0,4.02,0.0,0.0,False,True,False
17,27,32.5,1,864,5.68,1.0,14.91,False,True,False
15,37,142.0,0,52,2.96,0.05,0.39,False,False,True
16,21,98.9,0,314,5.15,0.39,5.04,False,True,False
16,7,112.2,0,186,4.68,0.23,2.65,False,True,False
15,15,164.3,0,12,3.71,0.01,0.13,False,False,True
18,46,-46.7,0,5,3.69,0.01,0.05,False,True,False
16,9,110.3,0,224,3.86,0.22,2.77,False,False,True
18,27,-27.5,0,36,3.81,0.04,0.39,False,False,True
16,37,82.5,1,555,5.03,0.69,9.71,False,True,False
18,21,-21.8,0,49,3.22,0.05,0.41,False,False,True
15,30,149.6,0,1,7.27,0.01,0.05,True,False,False
15,38,142.0,0,52,4.12,0.05,0.54,False,False,True
15,42,137.4,0,44,3.36,0.06,0.4,False,True,False
15,56,123.8,0,166,3.96,0.17,1.86,False,False,True
16,16,103.9,0,301,4.19,0.3,3.86,False,False,True
17,34,25.9,0,648,4.73,0.81,9.46,False,True,False
17,25,34.7,1,849,4.78,1.0,13.36,False,True,False
14,15,224.7,0,0,4.19,0.0,0.0,False,True,False
15,53,126.3,0,5,7.9,0.03,0.31,True,False,False
18,56,-56.1,0,2,4.37,0.0,0.02,False,False,True
16,8,111.8,0,261,3.69,0.26,3.35,False,False,True
18,45,-46.0,0,8,3.2,0.01,0.07,False,False,True
18,8,-8.8,0,4,6.52,0.02,0.2,True,False,False
14,49,190.7,0,0,6.97,0.0,0.0,True,False,False
18,25,-25.1,0,39,3.47,0.04,0.37,False,False,True
18,58,-59.0,0,1,2.78,0.0,0.01,False,False,True
14,54,185.2,0,1,3.83,0.0,0.01,False,True,False
14,56,183.8,0,2,3.42,0.0,0.02,False,True,False
17,54,5.7,0,683,4.02,0.68,9.26,False,False,True
16,48,71.7,1,876,5.33,0.88,16.88,False,False,True
18,21,-21.9,0,49,3.57,0.05,0.5,False,False,True
14,34,205.8,0,0,7.54,0.0,0.0,True,False,False
14,17,222.4,0,0,2.82,0.0,0.0,False,False,True
17,56,3.0,0,686,4.22,0.69,10.12,False,False,True
18,47,-47.1,0,6,3.59,0.01,0.06,False,False,True
18,30,-30.6,0,23,3.12,0.03,0.18,False,True,False
15,3,176.6,0,3,3.19,0.0,0.02,False,True,False
18,22,-22.6,0,48,3.35,0.05,0.49,False,False,True
15,59,120.1,0,159,3.02,0.16,1.32,False,False,True
15,33,146.8,0,1,9.15,0.01,0.08,True,False,False
16,32,87.9,1,671,4.45,0.67,9.99,False,False,True
15,51,128.1,0,133,3.69,0.13,1.45,False,False,True
15,25,154.9,0,26,3.42,0.03,0.26,False,False,True
14,35,204.4,0,0,3.77,0.0,0.0,False,False,True
17,24,35.6,1,704,5.06,0.88,12.57,False,True,False
16,5,114.3,0,232,4.3,0.23,3.56,False,False,True
18,47,-47.7,0,5,3.58,0.01,0.05,False,True,False
16,21,99.0,0,364,4.4,0.46,5.62,False,True,False
15,57,122.9,0,131,4.33,0.13,1.61,False,False,True
16,29,90.4,0,344,4.06,0.43,4.22,False,True,False
17,35,25.0,0,680,5.38,0.85,12.63,False,True,False
18,22,-22.2,0,54,3.79,0.05,0.56,False,False,True
16,51,68.7,1,748,4.53,0.75,11.77,False,False,True
15,59,120.3,0,149,2.84,0.15,1.15,False,False,True
17,24,35.2,1,1075,4.99,1.0,18.07,False,False,True
17,40,19.0,0,806,3.98,0.81,9.9,False,False,True
18,44,-44.2,0,7,3.21,0.01,0.06,False,False,True
16,28,91.1,0,469,4.95,0.47,6.98,False,False,True
18,41,-41.7,0,0,9.33,0.0,0.0,True,False,False
18,49,-49.7,0,3,4.39,0.0,0.04,False,True,False
17,10,49.6,1,1093,5.35,1.0,21.45,False,False,True
18,5,-5.4,0,83,3.03,0.08,0.72,False,False,True
16,51,68.5,1,32,8.41,0.16,2.32,True,False,False
18,3,-3.7,0,66,3.91,0.08,0.72,False,True,False
15,49,130.7,0,3,8.59,0.01,0.2,True,False,False
18,14,-14.5,0,71,3.18,0.07,0.59,False,False,True
16,44,75.8,1,584,5.86,0.73,12.42,False,True,False
14,41,198.6,0,0,3.92,0.0,0.0,False,True,False
16,40,79.5,1,24,7.15,0.12,1.47,True,False,False
14,31,208.1,0,0,3.73,0.0,0.0,False,True,False
17,37,22.2,0,938,5.02,0.94,16.01,False,False,True
16,35,84.1,1,637,5.33,0.64,12.31,False,False,True
18,59,-59.2,0,1,2.86,0.0,0.01,False,True,False
14,58,181.8,0,3,3.24,0.0,0.03,False,False,True
17,33,27.0,0,690,5.66,0.86,11.8,False,True,False
16,50,69.6,1,901,4.22,0.9,13.03,False,False,True
18,58,-58.2,0,1,4.08,0.0,0.01,False,True,False
17,8,51.9,1,1022,4.66,1.0,16.73,False,False,True
16,53,66.2,1,808,5.84,1.0,14.99,False,True,False
16,30,90.0,1,409,5.61,0.51,8.14,False,True,False
14,14,225.0,0,0,2.86,0.0,0.0,False,False,True
16,19,100.8,0,310,3.08,0.31,2.92,False,False,True
16,11,108.1,0,271,4.38,0.27,4.0,False,False,True
14,54,185.7,0,1,3.5,0.0,0.01,False,False,True
14,20,219.4,0,0,4.23,0.0,0.0,False,True,False
16,39,80.2,1,581,5.72,0.73,11.64,False,True,False
15,24,155.5,0,25,3.39,0.03,0.23,False,False,True
17,24,35.2,1,1138,5.02,1.0,18.97,False,False,True
18,52,-52.0,0,2,4.11,0.0,0.02,False,True,False
14,46,193.2,0,0,4.39,0.0,0.0,False,True,False
16,27,92.9,0,393,5.49,0.49,7.54,False,True,False
15,4,175.0,0,4,3.91,0.01,0.04,False,True,False
17,10,49.5,1,746,5.4,0.93,12.69,False,True,False
17,18,41.2,1,742,4.3,0.93,9.97,False,True,False
18,5,-5.7,0,83,4.09,0.1,0.91,False,True,False
17,56,3.7,0,384,5.41,0.48,7.44,False,True,False
16,58,61.2,1,621,5.6,0.78,11.39,False,True,False
17,36,23.9,0,821,4.78,1.0,13.47,False,True,False
18,45,-45.0,0,7,4.64,0.01,0.09,False,True,False
17,38,21.9,0,717,4.51,0.72,11.75,False,False,True
18,40,-40.4,0,12,4.52,0.01,0.14,False,True,False
18,1,-1.6,0,80,3.86,0.1,0.82,False,True,False
16,33,86.7,1,661,4.27,0.66,8.55,False,False,True
15,27,152.8,0,30,4.13,0.03,0.32,False,False,True
15,27,152.2,0,21,4.03,0.03,0.21,False,True,False
17,44,15.3,0,869,4.65,0.87,13.95,False,False,True
14,49,190.9,0,1,3.59,0.0,0.01,False,False,True
17,46,13.2,0,771,5.23,0.77,13.98,False,False,True
16,8,112.0,0,208,3.63,0.26,2.34,False,True,False
16,54,65.2,1,756,4.94,0.76,12.81,False,False,True
15,43,136.1,0,2,6.59,0.01,0.1,True,False,False
15,11,168.7,0,8,3.78,0.01,0.09,False,False,True
15,41,138.2,0,48,3.39,0.06,0.46,False,True,False
17,24,35.8,1,1161,5.21,1.0,19.62,False,False,True
14,5,234.4,0,0,3.89,0.0,0.0,False,False,True
15,9,170.4,0,6,2.93,0.01,0.05,False,False,True
16,34,85.9,1,546,4.97,0.68,8.19,False,True,False
15,25,154.6,0,27,4.31,0.03,0.34,False,False,True
14,52,187.8,0,1,3.79,0.0,0.01,False,False,True
16,9,110.5,0,215,4.96,0.21,3.28,False,False,True
18,32,-32.6,0,24,4.16,0.02,0.3,False,False,True
16,22,97.1,0,369,4.52,0.46,5.56,False,True,False
16,16,103.1,0,286,3.61,0.29,3.32,False,False,True
15,22,157.9,0,21,2.87,0.02,0.17,False,False,True
17,6,53.9,1,927,4.46,0.93,12.93,False,False,True
17,9,50.1,1,659,5.21,0.82,10.74,False,True,False
16,47,72.6,1,588,6.09,0.73,11.92,False,True,False
17,9,50.7,1,786,4.7,0.98,11.84,False,True,False
15,24,155.8,0,16,3.44,0.02,0.16,False,True,False
15,1,178.1,0,0,7.46,0.0,0.0,True,False,False
18,38,-38.9,0,13,3.71,0.01,0.13,False,False,True
16,52,67.4,1,569,4.3,0.71,8.41,False,True,False
16,3,116.2,0,231,3.82,0.23,3.21,False,False,True
14,1,238.7,0,0,3.3,0.0,0.0,False,True,False
16,45,74.7,1,631,5.5,0.79,11.32,False,True,False
15,5,174.6,0,5,3.93,0.01,0.06,False,False,True
16,46,73.4,1,594,4.35,0.74,9.45,False,True,False
14,22,217.5,0,0,3.72,0.0,0.0,False,False,True
16,48,71.3,1,815,4.28,0.81,11.29,False,False,True
15,49,130.5,0,114,3.18,0.11,1.1,False,False,True
18,4,-4.9,0,96,3.24,0.1,0.9,False,False,True
14,52,187.8,0,1,4.3,0.0,0.01,False,True,False
16,47,72.3,1,841,4.56,0.84,13.7,False,False,True
14,13,226.6,0,0,4.07,0.0,0.0,False,True,False
15,3,176.8,0,3,3.74,0.0,0.03,False,True,False
15,19,160.3,0,13,3.32,0.02,0.11,False,True,False
14,3,236.6,0,0,2.78,0.0,0.0,False,False,True
17,31,28.7,0,854,5.55,0.85,15.09,False,False,True
16,17,102.9,0,287,5.3,0.36,5.41,False,True,False
15,18,161.7,0,14,3.32,0.01,0.13,False,False,True
18,34,-34.8,0,18,3.41,0.02,0.15,False,False,True
15,21,158.4,0,14,3.84,0.02,0.15,False,True,False
14,9,230.3,0,0,3.73,0.0,0.0,False,True,False
14,17,222.3,0,0,4.69,0.0,0.0,False,True,False
16,5,114.6,0,195,2.29,0.2,1.31,False,False,True
15,21,158.4,0,16,2.39,0.02,0.1,False,True,False
14,39,200.8,0,0,3.93,0.0,0.0,False,True,False
14,24,215.1,0,0,2.8,0.0,0.0,False,False,True
14,8,232.0,0,0,4.52,0.0,0.0,False,False,True
14,42,197.9,0,0,4.58,0.0,0.0,False,True,False
15,1,178.5,0,4,3.21,0.0,0.03,False,False,True
14,36,203.2,0,0,4.34,0.0,0.0,False,True,False
18,10,-10.6,0,64,3.2,0.08,0.61,False,True,False
15,34,145.9,0,44,2.71,0.04,0.3,False,False,True
15,48,131.7,0,63,3.71,0.08,0.64,False,True,False
15,26,153.5,0,26,4.2,0.03,0.29,False,False,True
14,42,197.2,0,0,3.39,0.0,0.0,False,True,False
14,35,204.1,0,0,3.23,0.0,0.0,False,False,True
17,53,6.0,0,526,5.09,0.66,8.22,False,True,False
18,35,-35.9,0,16,4.56,0.02,0.21,False,True,False
16,45,74.1,1,621,4.64,0.78,9.75,False,True,False
15,44,135.7,0,3,6.97,0.01,0.17,True,False,False
16,25,95.0,0,416,4.01,0.52,5.1,False,True,False
15,24,155.1,0,22,3.52,0.02,0.2,False,False,True
